registroAB,nombre,presentacion,potencia,laboratorio,monodroga,troquel,codigobarra
1140,IKATRAL GRAGEAS                             ,grag.x 40               ,50 mg,Baliarda            ,oligómeros procianidólicos              ,2938032,7795338000497
1144,LAXICONA                                    ,comp.x 20               ,10/50 mg,Baliarda            ,bisacodilo+simeticona                   ,3059392,7795338000152
1145,ANUSOL                                      ,sup.x 12                , No Clasificada,Elea                ,bismuto resorcina+asoc.                 ,1189862,7792690002022
1146,MIKESAN                                     ,comp.x 10               , No Clasificada,Baliarda            ,ergotamina+asoc.                        ,2465891,7795338000183
1149,PEGANIX                                     ,comp.rec.x 20           ,10/2 mg,Baliarda            ,piroxicam+prednisona                    ,2051214,7795338000206
1150,REAGIN 250                                  ,250 mg iny.x 5          ,250 mg,Baliarda            ,citicolina                              ,2508291,7795338000220
1151,REAGIN 500                                  ,500 mg iny.a.x 3        ,500 mg,Baliarda            ,citicolina                              ,2847952,7795338000343
1152,REAGIN                                      ,1000 mg iny.a.x 1       ,1000 mg,Baliarda            ,citicolina                              ,2850081,7795338000350
1153,REAGIN                                      ,gts.x 30 ml             ,100 mg/ml,Baliarda            ,citicolina                              ,2705381,7795338000237
1154,REAGIN                                      ,comp.x 20               ,100 mg,Baliarda            ,citicolina                              ,2950731,7795338000459
1155,REAGIN                                      ,comp.x 40               ,100 mg,Baliarda            ,citicolina                              ,2950732,7795338000466
1156,REAGIN VASCULAR                             ,comp.x 10               ,100/4.5 mg,Baliarda            ,citicolina+dihidroergotoxina            ,2901221,7795338000381
1157,REAGIN VASCULAR                             ,comp.x 20               ,100/4.5 mg,Baliarda            ,citicolina+dihidroergotoxina            ,2901222,7795338000398
1158,REAGIN VASCULAR                             ,comp.x 30               ,100/4.5 mg,Baliarda            ,citicolina+dihidroergotoxina            ,2901223,7795338000428
1161,TUNIK 100 B12                               ,iny.liof.f.a.x 3        ,100/5 mg,Baliarda            ,s-adenosil-l-metionina+vit.b12          ,2857011,7795338000374
1162,TUNIK 100 B12                               ,iny.liof.f.a.x 5        ,100/5 mg,Baliarda            ,s-adenosil-l-metionina+vit.b12          ,2857012,7795338000411
1163,TUNIK 100                                   ,a.x 3                   ,100 mg,Baliarda            ,s-adenosil-l-metionina                  ,3143941,7795338000015
1172,ADALAT RETARD                               ,20 mg comp.x 20         ,20 mg Retard,Bayer (PH)          ,nifedipina                              ,2911121,7793640002024
1173,ADALAT RETARD                               ,20 mg comp.x 50         ,20 mg Retard,Bayer (PH)          ,nifedipina                              ,2911122,7793640233916
1211,LUMINALETAS                                 ,comp.x 30               ,15 mg,Bayer (PH)          ,fenobarbital                            ,115441,7793640000464
1234,INSULINA BETALIN                            ,Hum.Cte.40 UI iny.x 10ml,40 UI/ml Cte.,Beta                ,insulina humana                         ,3109701,7795328019188
1235,INSULINA BETALIN                            ,Hum.NPH 40 UI iny.x 10ml,40 UI/ml NPH,Beta                ,insulina humana                         ,3112251,7795328019232
1236,INSULINA BETALIN                            ,Hum.Len.40 UI iny.x 10ml,40 UI/ml Lenta,Beta                ,insulina humana                         ,3112591,7795328019218
1243,ALIDASE                                     ,comp.x 10               ,250 mg,Laboratorios Ber    ,naproxeno                               ,2307141,7792175000147
1258,FLUORDENT                                   ,comp.x 30               ,2.21 mg,Laboratorios Ber    ,"sodio,fluoruro                          ",2707781,7792175000529
1260,FLUORDENT                                   ,gts.x 30 ml             ,0.221 g %,Laboratorios Ber    ,"sodio,fluoruro                          ",2786311,7792175000543
1263,HISTOPEN                                    ,500 mg comp.x 16        ,500 mg,Laboratorios Ber    ,ampicilina                              ,1709102,7792175000307
1266,HISTOPEN                                    ,Ped.susp.x 40 ml        ,250 mg/5 ml,Laboratorios Ber    ,ampicilina                              ,2559941,7792175000123
1267,HISTOPEN                                    ,1 g comp.x 8            ,1000 mg,Laboratorios Ber    ,ampicilina                              ,2944471,7792175000314
1271,MIOPROPAN                                   ,comp.x 20               ,100 mg,Laboratorios Ber    ,trimebutina                             ,2312671,7792175000192
1273,MIOPROPAN                                   ,susp.x 250 ml           ,19.5 mg/5 ml,Laboratorios Ber    ,trimebutina                             ,2312831,7792175000215
1274,MIOPROPAN T                                 ,100/1.5 mg comp.x 20    ,100/1.5 mg,Laboratorios Ber    ,trimebutina+bromazepam                  ,2961962,7792175001045
1275,MIOPROPAN T                                 ,100/1.5 mg comp.x 50    ,100/1.5 mg,Laboratorios Ber    ,trimebutina+bromazepam                  ,2961963,7792175001052
1280,ORNITAINE                                   ,grag.x 20               , No Clasificada,Laboratorios Ber    ,vit.+aminoácidos                        ,125261,7792175000239
1282,PAPASINE                                    ,comp.x 8                ,250/80 mg,Laboratorios Ber    ,tetraciclina+naproxeno                  ,129303,7792175000260
1283,PAPASINE                                    ,comp.x 16               ,250/80 mg,Laboratorios Ber    ,tetraciclina+naproxeno                  ,129304,7792175000512
1287,CLINTOPIC                                   ,loc.x 30 ml             ,1 %,Investi             ,clindamicina                            ,2914011,7798009274647
1288,CLOBESOL                                    ,ung.x 15 g              ,0.05 g %,Investi             ,clobetasol                              ,3117541,7798009274654
1289,PROCETOKEN                                  ,100 mg comp.x 60        ,100 mg,Laboratorios Ber    ,fenofibrato                             ,2408122,7792175000345
1290,PROCETOKEN                                  ,100 mg comp.x 100       ,100 mg,Laboratorios Ber    ,fenofibrato                             ,2408123,7792175000352
1291,RATICINA                                    ,comp.x 20               ,150 mg,Laboratorios Ber    ,ranitidina                              ,2735321,7792175000406
1292,RATICINA                                    ,comp.x 50               ,150 mg,Laboratorios Ber    ,ranitidina                              ,2735322,7792175000413
1293,REDUX                                       ,120 mg comp.rec.x 60    ,120 mg,Laboratorios Ber    ,bismuto subcitrato                      ,369222,7792175000383
1298,VERILAX                                     ,gts.x 30 ml             ,7.5 mg/ml,Laboratorios Ber    ,"sodio,picosulfato                       ",9901298,7792175000505
1304,ALDACTONE A                                 ,100 mg comp.x 30        ,100 mg,Pfizer              ,espironolactona                         ,2030002,7791824116154
1306,ALDAZIDA                                    ,100 mg comp.x 30        ,100/10 mg,Pfizer              ,espironolactona+isobutilhidroc.         ,9901306,             
1312,AMINOFILIN                                  ,200 mg iny.a.x 6        ,20 mg/ml,Phoenix             ,teofilina anhidra                       ,2783341,7791848300416
1313,AMINOFILIN 300                              ,comp.x 20               ,300 mg Retard,Phoenix             ,teofilina anhidra                       ,1009831,7791848300041
1314,AMINOFILIN 300                              ,comp.x 60               ,300 mg Retard,Phoenix             ,teofilina anhidra                       ,1009833,7791848300058
1315,ANSIETEN                                    ,30 mg comp.x 30         ,30 mg,Ivax Arg.           ,ketazolam                               ,2668761,7795342001848
1316,ATRIMON                                     ,iny.a.x 1               ,150/10 mg/ml,Ivax Arg.           ,dihidroxiprogesterona+estradiol         ,454941,7795342001855
1328,CIPROCORT                                   ,8 mg iny.f.a.x 5 x 2 ml ,4/0.5 mg/ml,Beta                ,ciproheptadina+dexametasona             ,2606702,7795328050662
1329,CIPROCORT SPRAY                             ,fco.aer.x 75 g          ,666.6/333.3/33.3 mg %,Beta                ,ketoconazol+hidrocort.+gentamic.        ,2930511,7795328050426
1330,CIPROCORT                                   ,cr.x 20 g               ,2/1/0.1 g %,Beta                ,ketoconazol+hidrocort.+gentamic.        ,496281,7795328050211
1331,MASIVOL UREA                                ,cr.x 30 g               , No Clasificada,Investi             ,hidrocortisona+vit.a+asoc.              ,1780710,7795380042353
